"女性ホルモン剤が飲みたくて仕方ありません。
自分は元々女装趣味ですが、どちらかというと男らしく、中性的とは結び付かない見た目です。

一時期ホルモン剤に手を出してしまい、その時は髪も伸ばして、初対面の人に可愛いとか、女かと思ったとか言われてました。

その後精神不安定になり辞めてしまったのですが、薬を飲んでいた時の自分の見た目や扱いが忘れられず、自分の現実の体や顔を見ると時々鬱になります。

見た目なんて歳が行けば関係ないとか、見た目も性格も対して女らしくないし中途半端な気持ちならやめたほうがいいとか分かっていますが、中性的な男の子や女子全般、見ていると鬱が加速します。

しばらく何ともなくても、思い出した様にしんどくなる時があります。",心の悩み
"類似質問あればすみません。
彼氏の同級生の男の子とわたしの女友達が仲良くて、家によく遊びに行って一緒に寝てしまいました。(体の関係は一切ありません)
それが彼女に知られて、わたしの彼氏にも知られ、わたしの彼氏には許してもらえましたが、彼女は音信不通になりました。
他の彼氏の友達の彼女にも、人の気持ちが考えられないの？相手の彼女の気持ち考えたらできないよね？気持ち悪いと言われて、その彼女はみんなで集まるときもわたしがいるとこなくなりました。
それから1年くらい経ってるんですが、未だにそうです。。。彼氏や、他の周りのカップルとは仲が良く毎週会っているのですが。
わたしはその人の彼氏と何かあったわけじゃないし、少し気分が悪くて。気にしすぎじゃないですか？",恋愛/29才
"介護などの法律に詳しい方教えてください。

実母から面倒をみてくれと言われました。
断ると暴言のように話をされてしまい喧嘩になりました。

実母からは、お前がいたから不倫相手と一緒になれなかった。
お金をかけて育てた、面倒をみたなどを40分以上制止しても怒鳴り続けられ、それから体調が凄く悪いです。
実母などの介護は子どもは必ずしなくてはならないのでしょうか？

断りたい理由は
家にはお父さんがいましたが、母親は不倫ばかりしていて自宅にいない、子どもは放置でした。3才くらいからです。

不倫相手と別れたあたりで実父が亡くなりました。また別の男性が5日たたない内に家に入りました。
その相手から長い間性的虐待をされていました。実母は知りません
多分話しても私が悪いとなるからです。
この男はまだ現在実母といます。
実母は毎月年金6万くらい、男には払ってなかったので年金はありません。
覚醒剤をして3回刑務所に入ってたそうです。

上記を理由に断りましたが私が全て悪いと言われてしまい年金6万で2人を見るのは私には難しい、私には娘がいるから知らない男性は家では暮らせないと話してますが頭おかしいのか納得しません(主人がいて働いています、私は子どもに病気がありパート勤務)

いかなる事情があっても法律は必ず介護しなくてはならなくなりますか？
主人からは絶対に同居はしない、させない。と言われてしまいましたが法律が逃げられないならどうしたらいいのかと悩んでいます。",家庭・家族
母の日、何かあげる？,質問板
"こちら関東 暑いにも程がある 誰かどうにかしろっっ。


i’m ronron-loupe 4946キャ♡",おしゃべり板
"こんにちは。長文です。
仲のいい友達がいて、共通の趣味もあり、よく遊んだりご飯行ったりお酒飲んだりと楽しく過ごしていました。

ある日、「凄くやばい話がある！」「この話聞いたらテンション上がるで！！」「とりあえず紹介したい人がいる」と言われ、共通の趣味の関係の話かな？と思い「楽しみにしてて！」と言われたので内容を詳しく聞かずに呼び出された場所に行くと友達と女の人がいました。

話始めてすぐに分かったのですがネットワークビジネスの勧誘でした...。

ネットワークビジネスに元々いい印象はなかったのですが世の中色んな仕事があるし色んな事情があって働いてる人が多いのでネットワークビジネス自体を否定するわけでも友達がネットワークをしていることも否定するつもりはなかったのですが「やばい話！テンション上がるよ！」という誘い文句で半ば騙して呼び出されたことが何よりショックでした。

その場でショックで泣きそうになるのを堪えましたが怒りは抑えきれず...。
信用していた友達に自分の利益のために利用されたという考えに至ってしまい、その日は別れましたがなかなか寝付けず。
せめて、ネットワークビジネスに興味ない？やってみない？と誘ってくれた方がマシでした...

その子とはもう関わらないでおこうと距離を取ったら「一緒に仕事をしようって誘っただけなのに怒る意味が分からない。嫌いたいならどうぞご自由に。そんなことで嫌いになるやつとはこっちから願い下げ。」と逆ギレされました。

一緒に仕事しようって誘った
というように言っていましたが
金銭的に自分にメリットがあるから
友達を利用するってそれって一緒に
仕事するとかじゃなくない？
一緒にっていう割にはそもそも誘い文句もおかしい気がするし...
とますます信頼を失っていく一方です。


ずっと仲良くしてた友達なので
距離を取っているとはいえ
どこかでは理解してあげたいとも
思っています。勝手なこと言ってますが...
ネットワークビジネスをしている方でこの投稿を見て不快な気持ちになってしまったら申し訳ございません。
世の中色んな仕事があり人それぞれ色んな仕事をしていると思っています。
ですが今回一番のショックは
自分の利益のために変な誘い文句で
呼び出されたこと、嫌な気持ちになったのはこちらなのに逆ギレされたこと、です。

このような経験がある方いますか？
ネットワークビジネスについてみなさんどう思いますか？
ネットワークビジネスの勧誘ややり方、考え方がよく分からず投稿させて頂きました。

最後まで読んで頂きありがとうございます。長文失礼致しました。",その他
"親戚の子（未就学児）が楽器を習っていて将来音楽家を目指したいとか言ってますが、特に資産家でもないし親が音楽家というわけでもありません。それに国公立の音楽大学を出たとしてもソリストとして生計を立てることはできるのでしょうか？
講師になるとしても年収は500万以上可能でしょうか？",質問板
"相談です。

約一年前、わたしが学生だった頃アルバイトをしていました。
しかしアルバイト先のオーナーと仲良くなりすぎました。(わたしはオーナーのことを好きだったけど、お互い彼氏彼女がいたので男女の関係などは一切なかったです)

オーナーの彼女がかなりのメンヘラで、仲良くしてたことが気に食わなかったみたいで、LINEでかまをかけられたりして、オーナーの彼女にわたしが辞めさされるということがありました。

そのときに、店長が助けてくれました。
オーナーの彼女は常軌を逸してると知ってたみたいです。

アルバイトとは言えど、いきなりクビだったので収入も困るなと思っていました。
そのときたまたま隣県に新店舗がオープンするので、そこのヘルプをお願いしたいと店長に言われました。

わたしとしては職があったので、店長に感謝しました。
そのあとも店長にはすごく良くしてもらっていました。

新店舗の店長はまた別の人なのですが、
オーナー、店長、新店舗の店長の三人がグループになって経営していました。

新店舗のヘルプも、隣県のということがあったのでそう長くは続けれませんでした。

それからわたしも就職したので、関係者とは連絡をとることもなくなりました。

しかし先程、一年ぶりくらいに、新店舗の店長から連絡が来ていました。
久しぶり、元気ですか？とのことでした。

一応返事は返しましたが、なんの用なのか怖い気もします。
わたしからすると、オーナーの事件があったので、今さらその関係者と関わるのは気が引けます。

今後の連絡の内容によっては、店長に相談するか迷います。
今はわたしが知ってた頃の関係図かどうかはわかりませんが…

今後の内容によっては、店長に相談してもいいでしょうか？",その他
"体の不調 21歳

生理と生理の間に貧血のような症状があります。
生理の時は、貧血になりません。

症状としては、食欲不振、頭痛、寝ていないと辛い、だるさ、吐き気、そのに伴うメンタルの不調などです。

この症状が決まって生理と生理の中間の時期に1週間弱続きます。まぶたの裏を見ると真っ白です。

悩みに悩み、まだその周期に気がついてなかった時に、精神科、産婦人科、内科に行きましたが、精神科は産婦人科に行け、産婦人科には異常なし、内科には精神的なものではないか貧血の症状は一時的なものだ、と言われました。そのときは時間がなく血液検査はできませんでした。

ただ、内科に行った時は、ちょうど貧血の症状が出ている時ではなかったこと、生理と生理の間に来ていることを自分自身が気づいていないので、もしかしたら、何か違う病気があるのではないかと思い質問しています。

体験談や対処法などありましたらよろしくお願いいたします。",身体
"ゴミ屋敷育ちで臭いを今まで全く気に出来ず育ちました。お風呂もまとも入り方が分からず、大人になるまで周りに迷惑をかけてきました。
ADHDかもしれないです。

子どもが生まれて、旦那からお風呂の入り方教わりました。なんで、結婚出産できたかわかりません。

今は臭いを気にしすぎて子どもに消臭剤をばらまきそうになったり、少し精神的にまいっています。

コンビニやファミレスにいって服の中の臭いをかぐとなんか変な臭いがします。これはなんですか？今日西松屋でも臭いました。

外へ出たり、車に戻るとその臭いは消えるような気がします。",心の悩み
自分は今の仕事を辞めたいと思っていますなぜなら、自分に向いてないのと、上司からやる気がないなら、辞めたらと言われました、その時に退職届けはどんな感じに書けばよろしのでしょうか？,職場・仕事
"どうしたら普通の子になれますか。
今年高校2年生になりました。今年に入って、学校にあまり行けなくなりました。
中3のおわり頃から、ある地下アイドルグループに所属しています。
アイドルがやりたくて入ったわけではなく、いろんな活動ができると言われ親に反対されながら入りました。

しかし実際は週5でライブ。1日2公演もします。週1でダンスレッスン、のこり1日だけ休みです。土日祝の休みはありません。あとはたまに自社で開催する撮影会があります。正直、入所したてに1回しかアイドルとは別の仕事は貰えずただ事務所のお金を1年半ほど稼いでるようなものです。

やっぱり自分のやりたいことをしたくて辞めたくても、違約金が発生するため簡単には辞められません。家に帰るのも遅く学校のため朝早く起きないといけなくて睡眠不足です。
お腹も減ってないのにクセになってるようにずっと食べ続けてしまいます。1年半で10kg弱も体重が増えました。休息できる時がなく、オフがあっても学校でほとんど休みと言えない状態です。自由を求めてしまって親には学校に行ったフリして、学校には嘘をついてサボっています。

自分が甘いだけなんです。明日からは頑張ろうと思っても、結局気持ちがついていけなくて学校を早退してしまいます。
本当に自分のせいって言うのはわかってます。自分が悪いんです。その自分が嫌いでなんか色々積み重なって傷が治ればまた切って、とリスカが癖になってしまいました。その傷を隠すのもしんどいのにまた今日も切ってしまいました。しかも何故か今日は切って直ぐにすごい吐き気の立ちくらみめまいがしてずっと座り込んでました。今は治ってます。

話は戻りますが、アイドル活動は楽しいものではなくて自分は人気が全くなくて、私に会いに来てくれる人はほとんど居ません。他メンバーの子は沢山ファンの方が逢いに来てくれているのに。私には居ません。私がステージに出ている意味がわからなくなります。ステージにたってる意味もないのになんでこんなことしてるの？といつも思ってしまいます。自分は可愛くなくて何も特徴もないのでしょうがないと思いますが辛すぎてステージで泣いてしまったりしてしまいます。同世代のメンバーよりもどれだけ休まずに頑張っても評価されなくて、どれだけ練習をしてもメンバーの子に追いつけないし頑張っている意味も分からなくなりました。明るく頑張ろうと思っても結局泣いて過呼吸になって迷惑かけてしまうし、私の家は裕福ではなく電車よりもお金がかからないので親が車で送迎してくれます。親も仕事から帰ってしんどいはずなのに、申し訳ないです。迷惑かけてごめんと伝えても優しく親は迷惑なんて思ってないと言ってくれます。

毎日ライブできる環境を作って貰えることは本当はすごく恵まれていて、優しい親でメンバーも優しくて、すごく恵まれている環境なのに、自分はこんな感じで本当にダメだなと思います。
自分が大嫌いです。

どうやったら上手くいくでしょうか。どうやったら活動したくない、ライブでたくないという考えがなくなりますか？どうやったら学校をサボらず行けますか。どうやったら今の自分を変えられますか。
今の私は活動せず学校だけいきたいです。

すごく長々書いてしまってすみません。読んでいただきありがとうございます。
少しでもご意見下さると嬉しいです。",心の悩み
"通学路のコンクリの壁にsixってスプレーで大きく書いてるんだけど…
なにが書きたかったんだろう…
それにしてもシンプルを通り越してダサい。",おしゃべり板
付き合ってる期間が長いと結婚を意識するものなんですか？結婚の意思あるのか聞かれたのですが黙ってました。男です。,おしゃべり板
かなりキツイです。営業の先輩がキツくて辞めたいです。ですが契約数は部内トップクラスでお客様からの評判も良く、上司も信頼をおいている存在だそうです。皆さんは月に1件契約を取るのがやっとですが、その方は月に7件ほど取ってきます。出来すぎるがゆえ、皆さんはその方には何も言えず、私には先輩の言う事はちゃんと聞けよしか言いません。,心の悩み
"5年交際し去年の7月に入籍、年末に挙式を済ませました。今年の8月に新婚旅行を控えています。子供は新婚旅行が終わってから作ろうという話をしています。
いざ欲しいと子作りをするとなかなか出来ずに3年が経ったという話や、どちらかに問題があり不妊治療をすることになった。そのためにお金を貯めている。
など思っていた時期に子供ができなかったという人が多いような気がします。色んな状況や偶然が重なって授かるものだと分かっていますが、わたしとしては早いうちから子作りをして、妊娠しにくいなら早いうちに知っておきたいという気持ちがあります。また、欲しいと思った時に出来にくいのなら今から始めてもいいのかなとも思っています。
子宮がん検診など行い、わたし側は今のところ問題がなさそうでした。
また、もし今できても旅行が…という気持ちもあるので旅行終わりに子作りを始めることはほぼ決定しています。みなさんの考えが聞きたいです。",家庭・家族
"女性の方に質問があります。

別れて10日程経つ、もう二度と関わりたくないと思った元彼氏がいるとします。

別れてすぐにLINEやInstagram、電話などをブロックと着信拒否をし、Facebookだけ忘れていたとします。
気づいた時にブロックや友達削除などしますか？


普段Facebookにログインしておらず、元カノに付き合っていた時にメッセンジャーで送っていたメッセージが、数日前に既読になりました。
ブロックや友達削除されたと思いきや、何もされていませんでした。


また昨日、Facebookの友達の一番上、友達かもの上位5人くらいが元カノと共通の人で埋め尽くされていました。

元カノが頻繁に自分のページを見ているって事だと思いますか？",恋愛/30才
"まさひなと申します。 前レスが期限が来てしまいましたので、新しくまた作りました。 彼氏彼女との別れで落ち込んでいたり、傷ついてる方いらっしゃったら、話しませんか？
ここではみんな優しいので相談とかできたり相談のってあげたりできればいいなと思います。",おしゃべり板
親が残したアパートの家賃収入で生活してます。今まで働いた事ありません。生活にも困らないです。でも外で働いたほうがいいのでしょうか？,おしゃべり板
"年長で転園したいです。


長文です。


今年長の息子がいて30人クラスの保育園に3年通っていますが登園拒否になりました。
仲の良い子もいるし行けば楽しんではいるようですが、特定の男の子（A君）を極度に嫌がっていて視界に入るだけで怯えています。

1年前の夏に不安定になっていたので話を聞いてみると、A君が嫌だと言い出し園に相談しましたが、ふだんA君は息子と仲良しでそんな子ではない。と言われ他の子では？と違う子（クラスで暴れたり暴力的な子）が嫌なんだと思います。と判断されました。


息子は先生に言ってもダメだと保育園に行けなくなり2週間くらい休んだことで先生がやっと分かってくれ、A君との関わりをよく見てくれるようになり園に行けるようになり、それからは毎日通っていました。

この4月に担任の先生が変わり、A君の事も伝えてはいるのですが、またA君が怖いと言って朝泣くようになり園の目の前まで行けてもA君の姿をみると固まり、徐々にまた登園拒否になりつつあります。

不安定な年長生活が続くなら転園をしたいと考えいます。

小学校の隣に出来た少人数の園で子ども14人に対し3人保育士、幼稚園教諭の先生がつく園です。
うちの母がその園で保健士、地域交流担当でいます。息子にとってある意味温室です。
見学に行き息子はここに通いたいと言いました。


去年登園拒否になった際にパニックになっていたので発達障害の検査をしました。発達障害はなかったけれど、言葉が遅れているとの事で、市の言葉の教室に通っています。

そこの先生にそのことを相談した際、息子には今の状況だからこそ今の保育園で集団の中で鍛えられてほしいと言われました。A君からも逃げず打ち勝ってほしいと。ことばが色々話せるようになればA君も怖くなくなると。
その話を後ろで聞いていた息子は初めて教室でパニックを起こしました。先生にも二度と来ない！と泣きながら怒鳴っていました。

たしかに息子には強い心を育ててほしいです。でもこのまま不安定な心で年長を過ごし、小学校に上がるのも不安です。

みなさんならこの状況で転園されますか？",育児
"恋人と小さなことで揉めました。そうしたら、最初は小言だったのが、大きくなって、収拾がつかなくなりました。話せば話すほど、揉めます。どうして、ここまで大きくなるのか、謎です。本当に些細なことで始まって、お互いの理屈があって、正直、自分が間違ってるなんて思ってなくて。たぶん、それで更に揉めるんだと思います。
今、喧嘩が4日目突入しました。向こうが、不機嫌です。でも、何度考えても、自分の理屈が間違ってるとは思ってなくて。周りに相談すると、私と彼が合ってない、と言われました。私は理屈で動いていて、彼は感情で動いていて、それは合うわけないだろと言われました。私は、間違ったこといってない、彼は自分のことも認めてよ、で押し問答。正直、途中で逆ギレまでされて、私が引いて、私が悪かった、ごめんね、そうだよね、そう思うよね、で感情論を肯定しても、不機嫌なまま朝をまた迎えてて、もう、いい加減にしろよという気持ちが芽生えてきました……。

12歳年上が、なんて幼稚なことをしてるんだ。いっつもじゃない。自分がしたくてしてる仕事が終わると、頑張ったんだからいいじゃないかのスタンスで、勝手に～～くらいしてくれていいじゃないかとの態度で振る舞われます。疲れてるの気づいてるから、気を回して、甘えやすいようにしてても、私が勝手にしてることだとしても、それを無下にしたあとに、傲慢振るいます。で、振るった理由が上記です。で、甘えられなかった理由を私のせいにします。で、別件が出てきて、大もめ。で、それも全部私のせい。私は、女なのに口が立ってしまい、大概理論整然と話して、相手を完全に潰してしまいます。で、……不機嫌です。自分が正しいなら、口で伝えてればいいものを。負けるからで言いません。本当に、それが通るなら、負けないでしょう……。私が、悪いのかもしれません。……少し、疲れました……。",恋愛/29才
"婚約者がいて、一緒に住むことになり同じパソコンを共有してますが、履歴を見たところAVを検索していました。
男性なので見るのは仕方ないとは思ってますが、内容がロリ、中学生、高校生、援交と…心配になるような検索履歴でした。いつか犯罪しないかと不安で仕方ないです。気にしすぎですか？どうしたらいいですか？？",家庭・家族
"なんか今日何も起きても無いし眠いけど
気分いいなぁ〜何故だろう。",おしゃべり板
"うつ病の方、どのくらいの期間通っていますか？
私は半年です。
普段の生活はどんな感じですか？",心の悩み
"一緒にいてしんどい人との結婚
だんだん慣れてくるのでしょうか？

話もきいてくれる、味方になってくれる、家事も手伝ってくれる(週一、二回程度彼の家に行ってます)、浮気しない…

いい人なのに、一緒にいてしんどいときがあります

顔も笑ってたら可愛いのですが、真顔が苦手で、友達のイケメン旦那さんを見る度に気持ちが沈んでしまいます

結婚する予定で話が進みつつあるのですが結婚したら慣れるんでしょうか",心の悩み
"友達の妊娠・出産が辛い…

現在、29歳で4年前に結婚をしています。
結婚当初から子供を望んでいたのですがなかなか授からず、病院にも通っていました。
そんな中、1年前初めて妊娠をしました。
しかし、喜びは束の間、流産となってしまいました。
落ち込む中、直ぐにまた2人目となる子を妊娠、やっとお母さんになれると思った矢先、2度目の流産…
メンタル的にもボロボロになり、毎日泣いていました…

そんな中、頻繁に届く様になってきた友達の友達の妊娠報告と出産報告が本当に辛いです(T ^ T)
友達だからお祝いをしたい思いの反面、なんで私は妊娠出来ないの…
どうして、私より後に結婚したのに等…
黒い感情が出てきてしまう事も本当に辛くって💦

どう気持ちを保てばいいのでしょう？？
本当にわかりません…
私はお母さんになれるのかな？？
や、母になった友達と会うとき笑顔で会えるのかな？？とか考えれば考えるほどドンドン気持ちが落ち込んで行きます。
同じ経験をされた方みえますか？？
どう向き合えば良いのでしょうか？？
教えて頂きたいです…
お願いします。",心の悩み
家族に『もうお前と話したくない』と言われました。多分、理由は私が自分の考えを正当化するせいだと思うんですが、どうしたらこの短所直せるんでしょうか。また、私は性格が悪いとよく言われます。性格が悪いのも直したいです。皆さんは、どんな人が性格悪いと思いますか？,心の悩み
"結婚を考えている彼のことです。
付き合って1年になります。

彼は大学生の時から実家を出て一人暮らしをしているのですが、彼が幼少期に父親が暴力的で母親がよく泣いていたのを見ていたと、だから絶対父親のようにはならないと言っていました。

すごく温厚で優しいのですが、最近結婚の話になり、式を挙げるか挙げないかなど揉め事が増えてきたんです。
ちょっともめると、もういい、とLINEをブロックしたり電話も無視したりします。
私が折れていましたが疲れて放置していると必ず半日後には連絡してきます。

親のDVを見てきた彼は怒ると暴力的な感じもして…絶対に父親のようにはならないって言ってたのに、怖くなってしまいました。

同じような経験のある方いませんか？",家庭・家族
"職場のシフトを組んでいる方にお聞きしたいです。
自分が不必要だと思っているアルバイト従業員から、「たくさん稼ぎたいから1日のシフト時間を長時間にしてほしい」と言われたらどうしますか？
しょうがないから長時間使いますか？
それとも何かと理由つけて断ったり、最初は長時間で入れても少しずつ時間を減らしていったりしますか？

※労基法違反や人件費の問題、他アルバイトからの不満はないとします。
「能力不足の不必要なアルバイト」というところに着目してもらいたいです。",職場・仕事
"彼と喧嘩してラインの返事が返ってこない、、、。

昨日彼と喧嘩してしまいました。
完全に私が悪いです。逆ギレして暴言を吐いてしまいました。

電話で謝りたいと昨日ラインをしましたが
一日たった今も返ってきません。
いつもはすぐ謝って解決するのに返ってこないのは初めてなんです。

これ以上催促するのも負担だと思うので控えますが
喧嘩前12日には会う約束をしています。
明日になったら明日結局どうするの？と聞くべきでしょうか。
それとも返事が来るまで待つべきでしょうか",恋愛/29才
お元気ですか？,質問板
地震怖いよぉ:(ˊ◦ω◦ˋ):,おしゃべり板
"旦那と今までもいろいろありました。今は、距離をおき家庭の中で必要なこと意外は、べらべらに喋りません。
仕事もパートにでています。子供たちも学校にいっています。
こんな家庭です。",家庭・家族
"どこでどう探せば彼氏ができますか？やりもくの人ばかりで悲しくなります( ´:ω:` )25歳女です。
高校まで女子校、大学は女の子ばかりのサークルにいてて見た目も太ってたので彼氏いませんでした。
2年ほど実家の田舎に帰ってるうちにダイエットして結構痩せて、また街に戻ってきたのでオシャレするようになったらすごくナンパとかされるようになりました。胸があるせいか、すごく色気がある、遊んでそうと言われます。彼氏いたことないと言ったら冗談と思われて笑われます( ´:ω:` )
今の職場は年上の女の人ばかりで出会いもなく、彼氏欲しいから自分から動かなきゃと思って友だちに紹介して貰ったらやりもく、男友達などもいないのでネットやアプリで探すもやりもく、お茶しませんかと声をかけられてもやりもく、どこでどう探したら彼氏ができますか？( ´:ω:` )
デートしても、男の人ってその先のこと考えてますよね？エッチしてから付き合うか考える人もいると思います。
エッチに否定的なわけではありませんが、彼氏いた事ないので、付き合う前にエッチはしたくないです( ´:ω:` )それはわがままですか？( ´:ω:` )
この人いいかも、好きになれそうと思っても、すぐさま「エッチしよ」「家行っていい？」などと言われるともう辛いです( ´:ω:` )こんなことは普通に恋愛してる人には普通に起こり得るんですか？
この年まで彼氏いない歴を更新してしまったのでどうしたらいいかわかりません…。",恋愛/29才
"人生が長すぎてイライラします。
社会人なんて20歳から働いて
65まで働くのですか？
45年間ですよ、、、、、。
そして平均寿命は80歳、、、、
まだまだ、長い
イライラします。

19/05/10 12:21 追記
私は高校2年生からはたらいているので
16歳からですねー苦笑",その他
"生活に車が必須な田舎に住んでいる人に質問です。
車の運転はいつまでしたいですか？

①体が健康で正しい行動や判断ができるうちに運転は引退したい。

②ある程度体にガタがきても運転しないと生活できないので、介護が必要になるまではしたい。

③70歳や80歳こえてもバリバリ運転したい。自分はいつまでも若く健康で事故とは無縁だと思うから。

④その他。",質問板
"親にいじめられてること全部話して転校しました。
いじめから解放されてスッキリしました。
精神科行きます。
ありがとうございました！",学校
"職場のパートは同時入社で。一人のパートが癖あり、私も入社した時から気に入らないとか言われて無視されました。
仕事はしていて、そのパートは仕事あまり出来ない人であり。
私を気に入らないからと、ロッカー開けられて私物あさり私物を職場に広められました。

それはその人だと知っていて、他のパートから何か盗んだの?と聞かれたら盗んでない、ただ見ただけ、と会話してました。

私は仕事休んだけど、そのパートから連絡あり盗難の話をしても頑として認めないし、そのパートが疑われた事によりランチの誘いがありました、盗難を話したけど知らない!一点張りで話題を変えたけど、

仕事で嫌な事あり休んだけど、
私の悪口や盗難あり、癖ある人だけど、手のひらを返したように、かなり優しい人にかわり、ランチをおごってもらいました、払う気でいましたが、年上だから払います、素直に甘えなさい!との事、盗難も実際犯人その人なんだよ、

認めないし、　その人は仕事で色々言うから、パート辞めてます、
そのパートは、盗難の件でランチしたけどいきなり優しくなり、二重人格なのか、仕事復帰したらよろしく!と会話したけど、

職場ではその人、パワハラもあります、そのパートあまり仕事出来ない人です、
私的にはあまり好きではないタイプ、ランチ誘いも以外だなとびっくり、

ランチは盗難話をしたから、
私の友達に、職場には、必ず合わない人いるけど、そーゆ人が優しくなるとか、凄いこわいよ、と話になりました、

支離滅裂ですが、
職場のそのパートどう思いますか？
悪口は凄い、気に入らないとか言われたり無視されてました、他のパートも辞めた人います。


職場では出来ない人だけど、そのパートはパート友達をたくさん作ってます、",職場・仕事
"中途入社して約半年になりますが、仕事を辞めるか辞めないか悩んでいます。
専門を中退し、その後、今の会社に事務職で応募しましたが、設計担当として採用されました。しかし、半年経とうとしている今でも仕事を任されることはなく、上司と一緒に簡単な作業をしたり、他部所の人の手伝いをしたりしています。雑用でも、することがある時はまだマシですが、何もすることがない時の方が多いです。周りは忙しそうな人ばかりなので罪悪感を感じます。
3ヶ月前にパニック障害を発症し、数日休んで仕事にでて、気持ちを切り替えて、積極的に何かすることがないか聞いたりして努力してきたつもりですが、結局何も変わっていない感じがします。
どうしたらいいのでしょうか。",職場・仕事
結婚指輪なんてそんなに必要ですか？別に必要ないですよね？ただの物ですよ、何でこだわるのか理解できません？,おしゃべり板
"夫の浮気を許す方法は？

夫が浮気しています。
私はまだ好きなので修復したいのですが、
修復できたところで、私はこの気持ちを許せるのか？と疑問になってます。

正直、浮気女を触った手で頭を撫でられたり、手を繋いだり、キスしたり、今は想像するだけで気持ち悪いです。

でも好きだから離婚したくない。
離婚したら夫の思う壺だとも思うからです。

みなさんは、どうやって許しますか？",恋愛/29才
"さっき いけない手紙や落書きを、燃やしました。
写真は、破りました。",心の悩み
